Applicable Material,Brand Contact,Base,Brand,Capacity,Care Instructions,Category,Collection,Color,Compliance Standards,Construction,Control Type,Country of Origin,Depth,Diameter,Dirt Types,EAN,Energy Efficiency,Expiry,Finish,Freezer Capacity,Height,Length,Manufacturing Standard,Material,Model Number,Mounting,Packing Type,Power,Price,Room,Scent,Series,Shape,SKU,Style,Thickness,UPC,Warranty,Weight,Width,Product Type
Toilets,800-597-4950,None,Tilting Braising Pans,3.13 l,,Tilting Braising Pans,easy Plus,Taupe,UL Listed,Stainless Steel and Galvanized Steel,,,7.62 cm,27.6 cm,Bacteria,4000530692092,,October 06,Ash Burl With a Rich Honey Finish,,10.80 cm,17.36 cm,,Plastic,JOH-P1327,,,,,Living room,Blossom Breeze,,Dish Casserole,CF/PTC/5778/576,Golf,5.080 mil,786372957738,,2.85 g,3.297 cm,
Tubs,800-999-7297,Standard & Space Saver Ovens,Commercial Dishwashers,3.19 l,,Commercial Dishwashers,Selara,& Green,VOC Compliant in all 50 states,ColorCore Glass,,,7.78 cm,27.94 cm,Fungus,4004633260592,,2017,Film,,10.90 cm,17.46 cm,,100% Hardwood,CAR-607002D,,,,,Office,Heavy Duty Crisp Clean,,Tureen Mini,PTC/CF6472/002-PVC,Pub,5.300 mil,811369007155,,2.9 g,3.307 cm,
Walls,866-377-4771,Heated,Cushion,3.22 l,,Cushion,Merit,Multiple,Level 2 Certified,SS Top (economy),,,7.94 cm,28 cm,Germs,4004633199281,,October 08,Melamine,,10.92 cm,17.78 cm,,BestGuard,INT-5AX537GX3,,,,,Bedroom,Fresh Linen,,Teapot Gallon,NOCCARDSGV3S,Open Style,5.700 mil,718472614884,,2.95 g,3.346 cm,
Ceramic,800-347-9800,1 standard oven,Storage Rentals,3.31 l,,Storage Rentals,Manhattan,Black Galaxy,Meets or exceeds ANSI/BIFMA Standards,SS Front/Aluminum Sides,,,8.26 cm,29 cm,Mildew,4000530535269,,2017,White0,,10.95 cm,18.10 cm,,Heavy Weight Aluminum,INT-A456K3,,,,,Office,Agradable,,Apron,21.15.2117,Undercounter Height,50.800 mil,847539030609,,3.00 g,3.386 cm,
China,800-242-1677,Stem,Parts,3.49 l,,Parts,Evoque,Piano Black,ADA Compliant,Plastic Laminate Finish W/self-edge,,,8.41 cm,29.21 cm,Mold,4000530678393,,January 12,Gray Sand,,11.00 cm,18.29 cm,,Cardboard,SID-CTAL25BLU,,,,,Hall dentre,Amine,,Milk Bottle,PTC/CF6456/607,Drop In,57.150 mil,086876218398,,3.09 g,3.396 cm,
Plastic,800-222-6462,open,Cocktail Unit & Ice Bins,3.5 l,,Cocktail Unit & Ice Bins,Profi Plus,Purple,FM Approved,Aluminum & Stainless Steel,,,8.47 cm,29.8 cm,Grease,4004633237242,,2017,Matt,,11.11 cm,18.80 cm,,Alloy & Plastic,EAG-S4-74-1836VG-X,,,,,Living room,Cinnamon Spice,,Roll,PTC/CF/8227/311,Spiral/ribbon,6.000 mil,071160308015,,3.1 g,3.412 cm,
Ceramics,800-252-8379,Cabinet,Hobbies,3.55 l,,Hobbies,BonJour Dinnerware Orchard Harvest,Army Green(Random Delivery),UL Listed,Nylon,,,8.57 cm,29.84 cm,Grime,4000530683533,,July 02,Cerakote,,11.43 cm,19.05 cm,,Epoxy-Coated Steel,TAP-5980N,,,,,Dining room,Lavender Chamomile,,Full Size,CF/PTC/5774/399,Butter Warmer,6.350 mil,053242185486,,3.12 g,3.445 cm,
Chrome,800-742-6438,,Vacation Rentals,3.61 l,,Vacation Rentals,Z-Colors,Lavender,EPA 70627-72 and FDA 21CFR880.6890 Code LRJ Class 1,Glass,,,8.64 cm,29.85 cm,Hard Water Stains,4000530689849,,2017,Latte,,11.68 cm,19.37 cm,,Leatherette / Chrome,EAG-DS2124-C,,,,,Office,Wakening Spring,,Storage 1 Pint,CC/CF/Noella/Aqua/F0443/01,Horizontal Designer Radiator,6.700 mil,133589331583,,3.18 g,3.465 cm,
Enamel,1-800-346-3278,,Elegated Beech Wood Folding Chairs,3.63 l,,Elegated Beech Wood Folding Chairs,Sicomatic -L,Sliver,Intertek Certified,Beech Plank,,,8.89 cm,3.2 cm,Lime,4006932670041,,April 20,Powder Coated,,12.00 cm,19.69 cm,,Solid Brass,EAG-FT-2460-SG,,,,,Garden,Apple Cinnamon Medley,,1/2 Round,PTC/CF/1248/912,Pitcher,63.500 mil ,608866347866,,3.2 g,3.494 cm,
Fiberglass,888-882-7830,,Pet Accessories,3.79 l,,Pet Accessories,Sardine,Arugula/Avocado,Trade Act Compliant,Polycarbonate,,,9.21 cm,3.3 cm,Soap Scum,4000530678102,,2017,Not Listed,,12.07 cm,20.32 cm,,Brass,ELK-DWT30S144-STS,,,,,Kitchen,Clean-Burst,,Stationery,CC/CF/DOTTY/LIME/F0063/05,Sq. Cut,7.300 mil,792348410220,,3.22 g,3.504 cm,
Glass,847-579-3283,,Commercial Induction Cooktop,3.8 l,,Commercial Induction Cooktop,Stamp,Silver/Steel,ISO 9001-2008,Stainless Steel Interior,,,9.30 cm,3.5 cm,Chalk,4055432156906,,May 22,White/Chrome,,12.22 cm,20.64 cm,,Sunbrella,ONE-R4540000127,,,,,Living room,Dreft Original,,Viva12,0158-WF181,deep well design,76.200 mil,722651276084,,3.23 g,3.543 cm,
Laminates,877-289-3966,,Floor Mixers,4 l,,Floor Mixers,Delicious,Black with Platinum Trim Glass Door,Complies with California Proposition 65,Tin Plated,,,9.37 cm,3.7 cm,Dirt,4211129872607,,2017,Metromax Q,,12.30 cm,20.83 cm,,Cabinet - Coated sheet steel Door panel - Plastic,NEW-97655CD,,,,,Dining room,Clean Fresh,,Saucer Small,PTC/CF5983/314,2-sliding doors,8.000 mil,041298999058,,3.25 g,3.544 cm,
Metal,800-771-0529,,Ovenware,4.02 l,,Ovenware,Tratto,Empire Green w/ Cedar,Complies with the VOC (Volatile Organic Compound) limits,Wire & Plastic,,,9.40 cm,3.81 cm,Dry Erase Ink,4000530626325,,January 20,Stainless Steel Top,,12.38 cm,20.96 cm,,Oxford Cloth,EAG-DR2160-E,,,,,Kitchen,Crisp Linen,,Cake,CC/CF/BEACHHUT/GREY/F0292/02,Backless Style Flat Seat,82.550 mil,086279022967,,3.3 g,3.558 cm,
Plastic,800-397-1025,,Restaurant,4.26 l,,Restaurant,Moto,Black Stripe,including California,Silver Plated,,,9.53 cm,3.9 cm,Dust,4000530668646,,2017,Black Front & Sides,,12.50 cm,21.08 cm,,A2 Stainless Steel - Black,NOR-NLBB95-G,,,,,Living room,Fresh-Clean,,Plate Rack,PTC/CF6466/238,Coupe,9.000 mil,666671277143,,3.39 g,3.559 cm,
Plexiglas,800-628-5463,,Hot Food Pans & Covers,4.4 l,,Hot Food Pans & Covers,Top Serve,Ticking Stripe Khaki,Complies with TSCA regulations,Aluminum,,,9.65 cm,30 cm,Bacteria,4004633297932,,September 04,Black & Glass,,12.70 cm,21.27 cm,,Glass & Stainless Steel Cover,MRS-EP272-2WH-TS,,,,,Office,Chlorine,,Wine Bottle,PT/CF/5935/031,Cartoon,9.200 mil,781147828367,,3.44 g,3.583 cm,
Stainless Steel,800-421-1419,,Bar Stools,4.54 l,,Bar Stools,Maria Flor,Golden Travertine/Brass,Each product bears an EPA Registration Number on the product label,Crystal,,,9.84 cm,300 cm,Dirt,4000530687616,,2017,Stainless Steel,,13.00 cm,21.34 cm,,Aluminum Alloy & Stainless Steel & Plastic,EAG-DOS1248-16-4,,,,,Bedroom,Fresh Floral,,Retangular,L03L25572172,Islands,9.525 mil,652383722880,,3.6 g,3.593 cm,
Vinyl,631-435-0200,,Wine Merchandisers,4.55 l,,Wine Merchandisers,Barista,Graphite Gray,Fully registered with the Federal EPA and each of the 50 State EPA agencies (and the District of Columbia),Stainless Steel With Cover,,,9.91 cm,31.5 cm,Germs,4000530570529,,April 27,Black,,13.02 cm,21.59 cm,,ABS + Stainless Steel,GLT-IFC-19-24R,,,,,Office,Citrus Bliss,,Rectangular Top,PTC/CF2486/031,Pilsner,9.652 mil,027045744010,,3.62 g,3.622 cm,
Ceramics,888-858-3506,,CARPETS,4.61 l,,CARPETS,Berry Color,Hansen Cherry,ANSI Z87.1 Compliant,Melamine,,,10.00 cm,31.75 cm,Fingerprint,4000530453914,,2017,Stainless Steel Top,,13.18 cm,21.91 cm,,Ceramic,APW-WGST-3-NG,,,,,Hall dentre,Pine,,Fork Salad,EMS26004OK,Fold-out,1.160 mil,895897002059,,3.63 g,3.629 cm,
Enamel,800-854-6463,,Shelving,4.64 l,,Shelving,New York Series,Sonoma Oak,Complies with OSHA Bloodborne Pathogens Standards,Tin Plate,,,10.16 cm,32.4 cm,Grease,4006932646442,,December 13,Corrosion Resistant Stee,,13.21 cm,22.23 cm,,Tinplate,VER-VRE-56,,,,,Living room,Cotton Blossom,,Melamine Set,PTC/CF/5962/925,Wraparound Bumpers,270 mil,065410522993,,3.66 g,3.642 cm,
Fiberglass,800-257-9744,,Condiment Dispenser Stations,4.73 l,,Condiment Dispenser Stations,Abbott,Country Oak,EPA Registered,Cast Iron,,,10.41 cm,33 cm,Germicidal,4000530674500,,2017,Designer Colors Epoxy,,13.26 cm,22.30 cm,,Enamel,PLY-24847DE,,,,,Kitchen,Citrus Mint,,Free Form,RE-XR1340PATR,Peppermill,675 mil,882510250409,,3.67 g,3.661 cm,
Glass,800-541-0094,,Household,4.8 l,,Household,Basic,Dark Gray,Conforms to ASTM D6400 Standards,Stainless Steel W/copper Bottom,,,10.48 cm,33.5 cm,Salmonella,4000530642806,,June 14,Plastic,,13.30 cm,22.35 cm,,Cotton / Polyester,CAR-2015GR004,,,,,Office,Regular,,Desk Lamp,CC/CF/DOTTY/CHAR/F0063/02,Built-In,7.950 mil,041604288852,,3.7 g,3.666 cm,
Grout,800-421-7585,,BBQs,4.99 l,,BBQs,BINA,Lavender-blue,Conforms to ASTM D6868 Standards,Wrought Iron,,,10.58 cm,35 cm,Soap Scum,4006932612690,,2017,Gold Tone,,13.34 cm,22.54 cm,,Ceramic + Grass Seeds,VER-AL-1-DS,,,,,Living room,Herbal,,Vase,IRLPRFK,Flip Top,7.9375 mil,042976091286,,3.72 g,3.675 cm,
Laminates,800-248-9826,,Health,5 l,,Health,Opera,Chestnut,ANSI Type IA,Blue Steel,,,10.80 cm,35.56 cm,Staph,8007842624809,,February 19,Stainless,,13.46 cm,22.61 cm,,Aluminum,ADV-TKMS-308,,,,,Hallway,Cool Adirondack Air,,Rectangular with Double Fan,PTC/CF5983/721,Wall Mount,,795211426960,,3.75 g,3.691 cm,
Metal,800-536-3212,,Tractors,5.2 l,,Tractors,Der kleine Prinz,Spiderman,Extra Heavy Duty Industrial,Aluminized Steel W/non-stick,,,10.92 cm,37 cm,Build-Up,4000530668172,,2017,High-impact Plastic Construction,,13.65 cm,22.86 cm,,Sling Fabric,EAG-DS2448-S,,,,,,Clean,,Ying/yang (teardrop),PT/CF/5788/502,Without Lid,,793842469530,,3.78 g,3.693 cm,
Plaster,800-323-5513,,biancheria,5.44 l,,biancheria,Club,Fusion Maple,OSHA Compliant,Stainless Steel & Plastic,,,11.11 cm,38.1 cm,Grime,4000530640505,,September 08,Anthracite,,13.74 cm,23.01 cm,,Enameled Cast Iron,EAG-LR60-C,,,,,,Mountain Breeze,,Vase Mustard,WADDING/2-OZ,With Ice Bin W/sealed-in Cold Plate,,848971029268,,3.8 g,3.701 cm,
Plastic,888-971-6225,,Gardening,5.68 l,,Gardening,Philadelphia,White / Walnut,Conforms to ASTM Standards,Iron,,,11.43 cm,38.2 cm,Heavy Grease,4015625603488,,2017,Hard Rock Maple,,13.80 cm,23.37 cm,,Special blade steel,EAG-411296-X,,,,,,Mountain Mist,,Plate Soup,9377-1282-67,Mixing,,844819016216,,3.85 g,3.740 cm,
Porcelain,800-457-2424,,Insulated Beverage Dispenser,5.8 l,,Insulated Beverage Dispenser,Ambiente,Pumice,ANSI Type III,High Heat,,,11.75 cm,4.5 cm,Oil,4055432146648,,October 11,Blue,,13.81 cm,23.50 cm,,PVC Clear Material,FOR-40147,,,,,,Autumn Fresh,,Cone,8427,Cottage,,803572954616,,3.88 g,3.780 cm,
Stainless Steel,800-237-8287,,Racks,5.9 l,,Racks,Astoria,Red and Grey,Light Duty Household,Steel W/black Vinyl Exterior,,,12.07 cm,40.5 cm,Dust,4000530653963,,2017,Galvanized,,13.97 cm,23.81 cm,,Rubber,MRS-EP284-2ZH-PW,,,,,,Original Fresh,,Storm Lantern,PT/CF/5866/204,Conveyor,,043662280311,,3.9 g,3.789 cm,
Tile,800-558-5922,,Sculpture,5.91 l,,Sculpture,PermaDur Excellent,Arctic White,OSHA Compliant,Nickel Plated Blades,,,12.19 cm,40.6 cm,Soil,4000530677914,,December 16,Paint,,14.00 cm,23.88 cm,,Metal,MES-VC130C,,,,,,Crystal Breeze,,Salt & Pepper Bowl,CF/CC/TILLY/ROSE/F0213/05,Urethral,,844819013635,,3.91 g,3.839 cm,
Vinyl,908-707-4900,,Bar Sinks,6.15 l,,Bar Sinks,Kent,Sky Blue,FCC Approved,Oak Veneered Face with aluminium inlay,,,12.22 cm,40.64 cm,Dirt,4000530576224,,2017,Dark Colored Finish Over New Zealand Pine,,14.20 cm,24.13 cm,,Coral Velvet & Memory Foam,EAG-18X18-RRDEDB16-3,,,,,,Orchard Fields,,Teacup Small,WL-1425-GG,Doors & Drawers,,878963001934,,3.92 g,3.857 cm,
Ceramic,800-637-0529,,Billiards,6.5 l,,Billiards,Provato,Aluminum,UL Approved,composite solid core.,,,12.42 cm,41.91 cm,Grease,4000530643988,,April 02,Natural,,14.22 cm,24.45 cm,,plastic + metal,MES-MCO110BA,,,,,,Mountain Stream,,Round Top,ADB33618,Vintage,,029419145997,,3.95 g,3.858 cm,
Glass,800-392-3557,,Apartment Rentals,6.51 l,,Apartment Rentals,Cornwall,Raspberry Cream,Certified to NSF STD. 2,Stainless Steel & Aluminum,,,12.70 cm,43.18 cm,Stains,7332543191758,,2017,Glazed,,14.29 cm,24.77 cm,,Tissue,SAN-CB182412BL,,,,,,French Lavender,,Square-to-round Adjustable Top,PTC/CF/7151/922,Classic,,746468055847,,3.97 g,3.888 cm,
Plastic,847-222-9790,,Comm. Property Sales,6.62 l,,Comm. Property Sales,Lingo,Red Hot Red,USDA Approved,Polyethylene,,,13.02 cm,44.45 cm,Oil,4000530644893,,May 27,Stainless Steel & Glass,,14.30 cm,24.89 cm,,Flannelette,EAG-BPCP-2,,,,,,Babys Room,,Oven Mit,AQ-302190000-BL-OSF,Universal,,897946000603,,3.99 g,3.898 cm,
Porcelain,800-822-2979,,Housing Components,6.8 l,,Housing Components,KUECHENminis,Black with Red Accent,Conforms to ASTM F2413 Standards,Wire,,,13.34 cm,45.08 cm,Water-Based Spills,4000530619341,,2017,powder coated,,14.45 cm,25.08 cm,,Wicker,JOH-SLS536,,,,,,Spring Magic,,Pentagon,XU-A2448-REC-GY-T-A-GG,perforated,,788809835671,,4.00 g,3.937 cm,
Stainless Steel,800-628-1910,,Salamander Broilers,7.1 l,,Salamander Broilers,Classic Line,Regency Sand,Green Seal Certified,Plastic With Stainless Steel Top,,,13.49 cm,45.09 cm,Detergent,4006932609560,,January 26,Glosy,,14.50 cm,25.40 cm,,Rust-Resistant Steel,EAG-SDTLR-120-14-3,,,,,,Refreshing Breeze�,,Octagonal Top,PT/CF/5799/721,Teaspoon,,757104128009,,4.02 g,3.953 cm,
Linoleum,626-913-4022,,Chafing Dish,7.39 l,,Chafing Dish,Lisa Luby Ryan,silver,LEED Applicable,Stainless Steel,,,13.65 cm,45.6 cm,Film,4000530628565,,2017,Matte,,14.61 cm,25.88 cm,,Tempered Glass,MRS-HV2144-4UU-SS,,,,,,Light Fresh,,Flower,9696-9697,Nautical,,781147891361,,4.1 g,3.976 cm,
Metal,800-654-3282,,Bakeware,7.57 l,,Bakeware,Acorns,Black,Level 2 Certified,Plastic,,,13.97 cm,45.72 cm,Food Residue,4000530683939,,August 17,Coated Steel,,14.80 cm,25.91 cm,,Nylon,ELK-SLWT36S72-STS,,,,,,Fragrance Free,,Jug 1 and a Half Pint,PTC/CF5983/811,Grill,,841550043884,,4.12 g,3.986 cm,
Plastic,800-989-7487,,House Rentals,7.71 l,,House Rentals,SilverStone Ceramic CXi,Natural,Meets or exceeds ANSI/BIFMA and ISTA Performance Standards,Nickel Plated,,,14.22 cm,47 cm,Mineral Scale,4000530489531,,2017,Stainless / White,,14.86 cm,26.04 cm,,200D Ripstop,CAR-38332BH,,,,,,Country Scent,,Champagne Glass,PTC/CF/5869/413,Goblet,,738980012026,,4.13 g,3.988 cm,
Porcelain,800-333-1541,,runner,7.75 l,,runner,Miami,Color Random,SCS Indoor Advantage Gold Certified,fiberglass,,,14.29 cm,48.26 cm,Spots,4000530661814,,April 14,Textured Sable,,14.92 cm,26.42 cm,,Crystolon,BER-KSA4168A-1PH,,,,,,Clean Linen,,Chopping Board,CC/CF/DOTTY/MULTI/F0063/06,Coil,,053891110679,,4.2 g,4.035 cm,
Stainless Steel,800-824-9430,,Hot Bars,7.81 l,,Hot Bars,Living Lounge,CHERRY RED,Complies with all of the various state phosphate regulations,Stainless/copper,,,14.61 cm,49.53 cm,Dust,4004633286448,,2017,Medium,,15.00 cm,26.67 cm,,Acacia wood,GET-ML-248-BL-BK,,,,,,Mandarin Orange,,Teardrop,DN-19 TRAY-1,Champagne Flute,,886511495524,,4.25 g,4.055 cm,
Tile,1-800-879-8433,,Airpots & Coffee Dispensers,7.96 l,,Airpots & Coffee Dispensers,Ceramill Trend,Black & Gold,Complies with California Proposition 65 Compliant,Stainless,,,14.73 cm,5 cm,Lint,4004633232711,,December 09,Crackled,,15.08 cm,27.46 cm,,Polyresign,WCU-11910-12,,,,,,Perfume,,Dome,KONA_1194,Angled manual radiator valve pair,,642125322744,,4.33 g,4.085 cm,
Wood,800-533-3731,,Construction Equipment,8.04 l,,Construction Equipment,Hello FUNctionals,Tuscan Gold,Complies with the VOC (Volatile Organic Compound) limits,Nickel Plated Steel,,,14.86 cm,5.08 cm,Liquid,4000530363671,,2016,Epoxy Coated,,15.09 cm,27.94 cm,,welded sheet steel,BON-5204HR,,,,,,Tuscan Garden�,,Viva 12,21.15.1554,Rectangle,,707005067686,,4.34 g,4.094 cm,
vinyl tile,800-551-2355,,Decorative,8.28 l,,Decorative,Ruffoni Historia Dcor,Blue Black and Pink,including California,Stainless Steel Top,,,14.92 cm,5.1 cm,Soil,4000530677402,,February 04,Gray,,15.20 cm,28.26 cm,,Wicker,JOH-BKSC09O,,,,,,Ocean Kiss,,Drop,PTC/CF/1249/007,With Ice Bins And Cocktail Station,,100177365770,,4.35 g,4.109 cm,
sheet vinyl,+33 (0) 1 41 21 21 00,,Kitchen Appliances,8.52 l,,Kitchen Appliances,La Forme Plus,Transparent Blue / White,Complies with TSCA regulations,Front,,,14.99 cm,5.2 cm,Dust,4000530680594,,2018,Plastic Laminate Top With Wood Trim,,15.24 cm,28.70 cm,,Steel,MAT-373124,,,,,,Refreshing,,Body Lotion,CF/PTC/5747/705,Tradition,,885643257888,,4.4 g,4.134 cm,
marble,614.985.2600,,Other Antiques,8.99 l,,Other Antiques,Profi,blue/Black,CFIA,Ends & Legs,,,15.24 cm,5.8 cm,Grease,4000530674517,,October 23,Green Epoxy,,15.30 cm,29.46 cm,,Tempered Glass,AMP-8X8C-I,,,,,,Refreshing Aloe,,Oblong,PTC/CF6473/632,enclosed cabinet,,893835001393,,4.46 g,4.158 cm,
terrazzo and concrete floors,800-251-8184,,Refrigerator-chiller and Refrigerator with a 0-star compartment,9 l,,Refrigerator-chiller and Refrigerator with a 0-star compartment,Cars,Rattan,Green Leaf VOC+ Certified,Stainless Steel Top,,,15.56 cm,50.16 cm,Grime,4000530549563,,2016,Stainless Steel Top And Front,,15.40 cm,29.97 cm,,Plastic,ONE-88002913B,,,,,,Island Nectar & Pineapple,,Plate Melamine,cynthia-home-kitchen-70,Angled,,032281291815,,4.51 g,4.183 cm,
Cement,800-267-5486,,Wine & Beer Making,9.07 l,,Wine & Beer Making,Modesto,Light Peach,GREENGUARD Gold Certified,Front & Sides,,,15.75 cm,50.165 cm,Liquid,4000530534859,,March 05,Royal Blue,,15.40 cm,30.00 cm,,Cloth,FOC-FF2154C,,,,,,Acapulco Splash,,Jug 3 Pint,9377-P-1251-106,Heated Base,,070896218209,,4.55 g,4.185 cm,
Ceramic,800-296-8970,,PAPER NAPKINS,9.46 l,,PAPER NAPKINS,Augsburger Faden,White/Black,USDA Certified Biobased 26%,Galv. Leg,,,15.88 cm,50.17 cm,Grease,4000530639349,,2017,Burnt Bronze Cerakote,,15.50 cm,30.48 cm,,Body: free cutting steel,VER-RB-21-TZSS,,,,,,Lightly Scented,,Decorative Button,30022871,Uncoated Visor,,035886329181,,4.6 g,4.232 cm,
Concrete,800-235-6325,,Sail,9.94 l,,Sail,BonJour Dinnerware Meadow Rooster,Tan Stripe,AHAM Verified,Best - 14 ga SS Top,,,16.19 cm,50.8 cm,Mildew,4000530686039,,September 12,Stainless Steel and Glass,,15.56 cm,30.99 cm,,blackened,FWE-OTR-17-MSWT,,,,,,Cotton Berry/Refreshing Citrus,,Candle,HK-98021-3,Traditional,,756564691511,,4.7 g,4.257 cm,
Fiberglass,773-869-1234,,Miscellaneous,9.98 l,,Miscellaneous,Dune,Gark Gray,California Air Resources Board (CARB) Compliant,16 ga. SS Legs,,,16.26 cm,50.9 cm,Mold,4000530566874,,2017,Textured,,15.75 cm,31.12 cm,,spring: stainless steel,MRS-STD248-1EFH-TS,,,,,,Meadows & Rain,,Wine Glass,PTC/CF2517/901,Country,,818932010062,,4.73 g,4.264 cm,
Glass,800-323-9005,,Clerical,10 l,,Clerical,Michalsky Tableware,Black/Red,Certified by Asthma and Allergy Foundation of America,Rubber Blade W/plastic Handle,,,16.51 cm,52 cm,Soils,4006932647616,,November 19,Self Colour,,15.80 cm,31.50 cm,,Seal: NBR plastic,VER-GV-16-W-M,,,,,,Fresh Sparkling Waterfall,,Tissues,MYB-M-555-7302-2400,Coastal,,028407094880,,4.75 g,4.281 cm,
Laminate,800-333-2545,,Other Services,10.06 l,,Other Services,Motion,Black Red,Energy Star Qualified,24 Gauge,,,16.76 cm,53.34 cm,Grease,non applicabile,,2017,Powder Coated Enamel with Brass Accents,,15.88 cm,31.75 cm,,Vinyl Coated Wire,CHM-90012,,,,,,Citrus Floral/Ginger,,Flat,PTC/CF/5718/703,Gas,,017149739579,,4.8 g,4.287 cm,
Plastic,800-848-9400,,Food Prep Slicers,10.41 l,,Food Prep Slicers,Patisserie,Natural Cherry/Graphite Gray,True HEPA filter (99.97% efficient down to 0.3 micron particles,ABS,,,16.83 cm,54.6 cm,Grime,4000530691866,,July 11,Duo-Tone,,16.00 cm,32.07 cm,,Stainless Steel & ABS,INT-X556EFX3,,,,,,Ocean Mist�,,Bread Bin,CC/CF/Energy/Mineral/F0383/04,Attachment,,778295345136,,4.94 g,4.291 cm,
Steel,800-448-1018,,Appliance Repair,10.88 l,,Appliance Repair,Quadro,Bubble Blue and Raspberry Red,tested according to standard IEST RP CC001.5),Galvanized,,,17.02 cm,55.88 cm,Ink,4000530656353,,2017,Information unavailable,,16.00 cm,32.39 cm,,Recyclable,MCR-M24407,,,,,,Hawaii Exotic Papaya & Hibiscus Flower,,Plate 8 and a Half Inch,PTC/CF/8227/531,Vented,,848703006086,,5.00 g,4.306 cm,
Finished/Sealed Wood,800-955-6887,,Char Broilers & Outdoor Grills,10.89 l,,Char Broilers & Outdoor Grills,BonJour Dinnerware Sierra Pine,official team colors.,UL Listed,Acrylic & Wood,,,17.15 cm,56.5 cm,Paint,4000530617064,,January 22,Victorian Cherry,,16.26 cm,32.54 cm,,synthetic wood,SER-83090,,,,,,Unscented,,Dish Large,KONA_1295,Unit,,766150482355,,5.2 g,4.331 cm,
Sealed Hardwood Floors,,,Security Cages,11.33 l,,Security Cages,Perfect Ultra,Hibiscus,ANSI/ISEA 107-2010 Compliant,Nickel-plated,,,17.27 cm,58.42 cm,Dirt,4000530697233,,2017,Non-stick,,16.35 cm,33.02 cm,,Glossy Paper,RUB-FGFG1837SUPLBGN,,,,,,Sea Mist/Ocean Breeze,,Plate 6 and a Half Inch (Set of 2),PTC/CF6247/110,Island0,,041205676508,,5.25 g,4.370 cm,
Toilets,,,Pass Thru/Specialty Heated Cab,11.34 l,,Pass Thru/Specialty Heated Cab,Tavola,Stainless Steel ,Compliant with TSCA regulations,Plastic W/stainless Steel Blades,,,17.46 cm,6 cm,Dust,4000530635754,,November 29,Brass,,16.50 cm,33.40 cm,,Stainless Steel,VOL-47225,,,,,,Outdoor Fresh,,Column,PT/CF/5807/587,Stationary Hoppers,,029986917898,,5.3 g,4.380 cm,
Urinals,,,Dishtables,11.36 l,,Dishtables,LONO,Transparent,Complies with California Proposition 65,Stainless Steel & Glass,,,17.53 cm,6.1 cm,Grease,4000530688965,,2017,Desert Pearl,,16.51 cm,33.53 cm,,Artificial Leather,JOH-KCT18-V,,,,,,Lemongrass Citrus,,Cylindrical,CF/STRNBRG/ORGANZA/CERISE-37,Embossed Straight Edges,,086279023179,,5.35 g,4.429 cm,
Asphalt Tile,,,Farms & Acreages,12 l,,Farms & Acreages,Function 4,Black Sesame,Complies with the VOC (Volatile Organic Compound) limits,Chrome Blades,,,17.78 cm,6.5 cm,Grime,4000530534590,,November 19,Silver,,17.00 cm,33.66 cm,,Wood(Handle),ONE-R4020000758,,,,,,Early Morning Breeze�,,Square Top,CSSET9_4D,Butcher Blocks,,029986179739,,5.443104 g,4.454 cm,
Cement/Concrete,,,Food Pans & Covers,12.18 l,,Food Pans & Covers,Midi,Medium Saddle Brown,including California,Welded,,,17.94 cm,6.6 cm,Ash,4000530683724,,2016,Stainless Steel + Black Glass,,17.15 cm,34.04 cm,,Bristle Hair & Camel Hair(Tip),FWE-ETC-1240-20,,,,,,Gain Original,,Napkins,PT/CF/5785/370,Electric Radiator,,017149776994,,5.47 g,4.465 cm,
Ceramics,,,Jewelry,12.3 l,,Jewelry,KULT pro Power,Parchment Silver,Fully registered with the Federal EPA and each of the 50 State EPA agencies (and the District of Columbia),Stainless Steel Top,,,18.03 cm,60.7 cm,Bacteria,4000530534996,,October 24,Blue Epoxy,,17.30 cm,34.29 cm,,Aluminum(Ferrule),EAG-PHT6CB-240-3,,,,,,Apple,,Rectangular,CC/CF/BELLE/RASP/F0620/05,Eiffel Tower,,753640988473,,5.51 g,4.478 cm,
Cork,,,Coffee Percolators & Urns,13.01 l,,Coffee Percolators & Urns,Vitaliano,Acorn,NSF Classification C2,Front & Sides,,,18.10 cm,60.96 cm,Burned-on Food,4000530385086,,2017,Powder Coat,,17.46 cm,35.05 cm,,Leather,MAR-5800-64R,,,,,,Linen & Sky,,Dish Pie,MMMDP300RD,Pakistani,,874951003164,,5.55 g,4.488 cm,
Finished/Sealed Wood,,,Juicers,13.25 l,,Juicers,Top Tools,Hunter Green,When Properly Installed,Metel Leg,,,18.29 cm,62 cm,Carpet Stains,4000530678829,,August 30,Lusterless,,17.50 cm,35.40 cm,,Acrylic,BER-FCB2060A-1,,,,,,Cherry,,Room Diffuser,PTC/CF/3197/031,Afghan,,743808009003,,5.65 g,4.5 cm,
Laminates,,,Landscaping,13.61 l,,Landscaping,Sicomatic,White,Meets ADA Standards for Accessible Design,Aluminized Steel,,,18.42 cm,63 cm,Dirt,4000530654519,,2017,Tempered Black Glass,,17.53 cm,35.56 cm,,Satin Fabric,KRO-KR18-30DP-10,,,,,,Ocean Mist,,Spoon Espresso,CF4065 BG,Printed,,885473317851,,5.67 g,4.528 cm,
