Brand,Interface,Model,"Portable Memory (Pen, Memory Card...)",Processor,Material,Condition,Memory Speed,Screen Size,Operating System,Output Voltage,Battery Capacity,Storage Capacity,UPC,Color,Power Supply,Security,Memory,Graphics Card,Data Transfer Rate,Warranty,Category,Clock Speed,Compliant Standards,Cable Length,Input,Cache Memory,RAID Level,Processor Socket,Data Link Protocol,Battery Type,Processor Core,Average Seek Time,Rotational Speed,Weight,Generation,Product Type,Country of Origin,EAN,Memory Type,Reading Speed,Writing Speed,SKU,Resolution
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.81 oz / 108 g,,,,4260455642040,,,,THN-U302K0080MF,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.36oz / 67g,,,,8716065136715,,,,SDSQXAO-128G-GN6ZA,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.33oz / 151g,,,,0882780114838,,,,70CM9005EA,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.95 lbs/2.25 kg,,,,4948382248640,,,,PT363E-0VY04WDU,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.48 oz / 297 g,,,,0841501120510,,,,MCW5002-P,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240 g,,,,9010018200515,,,,CMK16GX4M4B3333C16,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.97oz / 396g,,,,4713392055546,,,,ST900MM0168,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.83 oz / 137 g,,,,0889899404232,,,,ST4000NM0245,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8 oz (300 g),,,,4719072450502,,,,RL9501,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.64 oz / 330 g,,,,4016032315919,,,,332616-001,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.42 oz / 267 g,,,,4056572679430,,,,KV3-00331,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 lb. [0.45 kg],,,,8715181995169,,,,A-ITX18-A1B12E,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.76 lb/1.25 kg with 6-Cell Battery,,,,8806086790802,,,,DLN1732/10,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,~2.3kg (w/ Li-polymer Battery) ~2.4kg (w/ ODD and Li-polymer Battery),,,,5397063783373,,,,SMPLFY-207,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,214 g / 7.55 oz,,,,5397063780273,,,,CFSP10256G,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03kg,,,,4043718014125,,,,CUBI-242EU,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6 kg,,,,0704118093342,,,,AD3U1333C2G9-S,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.14 lbs/4.60 kg,,,,5051794012248,,,,AD3U1333C2G9S,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.2 kg,,,,8718226229410,,,,755384-B21,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.28 oz/263.09 g,,,,8716065223682,,,,71605B,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,331,,,,0889349438114,,,,OWCCBLTB3MRDP,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.56oz / 101g,,,,4712900438116,,,,MXSSD2MSLD32G-H2,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5 lb/2.3 kg,,,,0883585340668,,,,B-UTP605W,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.91 lbs/1.32 kg (Varies by configuration),,,,4948382529183,,,,PSCRLE-001017DU,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.01oz / 635g,,,,5711045867811,,,,Satellite C40-C-10Q,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,907g / 31.99oz,,,,0722868685372,,,,RL6001,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.11 oz / 145 g,,,,7228686853724,,,,28711-ARM01-0CBS,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,With Stand: 14.8 lb (6.7 kg) Without Stand: 12.1 lb (5.5 kg),,,,0885631202678,,,,GM-M1-BLACK,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4713392978616,,,,NDE0050,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0715663215523,,,,LC.NB36L.8GB,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4053162064133,,,,UTP601GBOOTED,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5711045050343,,,,V7J-00157,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7636490044311,,,,AA-14G,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4710614521919,,,,STP603S,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0889894491305,,,,S14A-000-20502,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4712900157857,,,,6I04-064GR1001,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4712900220889,,,,DLSF16,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8716065285727,,,,EGS1005,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0757120815051,,,,AL14SXB30EN,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7571208150512,,,,B-FTP602W,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3307210134042,,,,J9C19EA,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0619659043650,,,,J9C19EA#ABB,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6196590436504,,,,1TR64EA#ABD,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0778656067790,,,,4D1773786,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0778656068384,,,,88885006,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0778656068438,,,,FB6925,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0885631586280,,,,I25892,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0886111263332,,,,90NX0051-M06230,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4713392239489,,,,P2520LA-DM0471E-BE,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5412882681409,,,,10KW002GMH,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5413729228153,,,,SV310S37A/960G,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4008928454406,,,,RP 6080,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0889800164897,,,,RP 6080 BL,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5711045259906,,,,NX.GDZEH.014,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0885370442335,,,,RL9701,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5705965855102,,,,FB6510,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0649528771865,,,,BLS2C8G3D1609ES2LX0CEU,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4016998991431,,,,IB4030,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8714909020763,,,,MMD8781/16GB,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0191628474141,,,,910-003059,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4016032214151,,,,910-003060,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3831109860472,,,,PN 910-003059,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8716065248364,,,,30AH001JMH,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5704327667902,,,,T6N32AA,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0650590169801,,,,T6N32AA#ABB,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0887770965247,,,,SB45 USB,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0889349352069,,,,90NB0BA2-M07400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4712900352061,,,,P5T17EA,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0885631970560,,,,P5T17EA#UUG,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4053162257177,,,,930-81761-2500-000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4948382773432,,,,930-81761-2500-500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8032976077979,,,,NA-SAV2.blue,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5397063946839,,,,PP300,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0746320972688,,,,FIB222025,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0888182544075,,,,PX05SMB080,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4711132869156,,,,NX.GKKEH.001,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4719072495862,,,,TS256MDL4100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4713392411274,,,,FIB441007,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8717587048067,,,,MA47,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4002888451659,,,,MMG1312/4GB,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5055146570738,,,,100700721,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0846651015822,,,,Macho 120 Rev.A,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3610170008002,,,,4044951013692,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4026203903487,,,,IMFL0S,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5053106078676,,,,SSD-DM032-SMCMVN1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4712477310433,,,,339666-001,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0757120830498,,,,39M5815,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5051964756811,,,,NX.MZSEH.020,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7571208304984,,,,MMD0067/1G,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3831109831311,,,,NB-64MLC-MINI,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8592978056339,,,,B-SFTP603S,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5712505454718,,,,CSE-813MTQ-441CB,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0889899046067,,,,250510W,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0190940853207,,,,N4510USPRO/24TBNLWD,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8719675006911,,,,Aspire F5-571-50RK,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4713883043991,,,,NX.G9ZEH.001,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4712900280555,,,,7100015,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4712900473919,,,,J9137A,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5291128255198,,,,PSF16GMCSHC10UK,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5291198554610,,,,730239-001,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4717964406767,,,,XCSA18MS1811-128,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4051528299113,,,,453308-001,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3536403347437,,,,UTP630WBOOTED,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5025232862382,,,,STP6015O,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0605242966758,,,,S26361-F3288-L226,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5705965896815,,,,SATAPOW36,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8719675008823,,,,S14A-000-26514,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0885370440836,,,,N9Q65EA#ABH,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0746320162102,,,,PBT120GS25SSDR,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5055060972304,,,,INFD8GBCHR3.0BK,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0884962569580,,,,TPD38G1600HC1101,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4711173872603,,,,HM-HS1SA-Z.EU,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4711173872610,,,,90PD01J9-M11000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0069349497056,,,,IB1403,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0168141504594,,,,MSL009801,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0191120008486,,,,MHL1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0693494907056,,,,FIB741003,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6934949070562,,,,AK9027,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8716065328516,,,,JD527A,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5390660180354,,,,80WE-5.5J,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4002888481656,,,,SSD7EP7011-240-RB,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5712505455722,,,,K1M38AA,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8717344969505,,,,K1M38AA#ABB,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0889894717443,,,,81BL005SMH,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5704327977537,,,,RL2520,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4719072475819,,,,PROHDMIHD2,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5711045605710,,,,1008017,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0882224469203,,,,ID0016,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0882224469289,,,,F9A40A,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5054484415688,,,,ST5000NM0084,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5711045259562,,,,SDIX-128G-G57,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4002888472951,,,,90MB0LV0-M0EAY0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4713392044779,,,,Z170-P D3,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4712702636079,,,,C4955A,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8712412569298,,,,F4M01AW,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4051528299205,,,,F4M01AW#ABH,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4250051906165,,,,PEA1415,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4002888428897,,,,ACH120USZ,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4007249909732,,,,MMD2603/2GB,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4713392545757,,,,GQA48-ADSS-S4NC,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4016032385332,,,,CM-CON-8EPS-R,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8718722127401,,,,FB7015,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4712900018653,,,,NDE0075,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8716065255041,,,,JIC-TGSP-AP-IP1292017,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0619659071325,,,,PSD38G1333L2S,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4043718206582,,,,USBAPS2F,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0065030849203,,,,4D1772684,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0163121157357,,,,E902720,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0566582504362,,,,PFL60GS25SSDR,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0600889134713,,,,C50D-A-12R,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0650308492030,,,,PSCGWE-03300WDU,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5397063623112,,,,PX-512M8SEGN,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4002888471947,,,,F2CP003-20GY-LS,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4014619138715,,,,ckimp-5985,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4712900764178,,,,80SR00FCMH,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4713883258722,,,,FIBSTPIG2,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0885909457601,,,,TS128GSSD420,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0885909467044,,,,LPC-APP-IPAD1052017-BLCK,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0885909467129,,,,FTP5005WAA,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0885909467181,,,,59Y4011,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0885909467235,,,,E100D-HDD-SSD200G=,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0766623371803,,,,NX.GTCEH.003,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4713392609961,,,,DT.B1REH.003,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5704327854241,,,,N4510USPRO/4TBNL,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7611990155859,,,,1287-3913,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5711045838149,,,,NX.G2AEH.009,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5055146585312,,,,390249-001,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8718722158153,,,,CT480BX200SSD1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5052883915921,,,,MMD8768/2048,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5712505499870,,,,39586-01,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3831109868683,,,,G02694,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0883436569583,,,,MXUB3MLX-64G,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4053162430297,,,,876093-B21,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0888793112120,,,,CNPS10X Performa,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4053162957756,,,,RL3920,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5055146572176,,,,USM16GMP,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7322460058043,,,,MMI1012/16GB,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0065030841771,,,,JUA230,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0760557810704,,,,70B89002EA,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0190151983298,,,,AW568A,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8716065223958,,,,M0R49EA,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4948382488503,,,,FSM5210P-100NES,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0065030870962,,,,MF885FN/A,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0808736675307,,,,C20-254,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4002888474665,,,,CHD2MUTU,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4712900282214,,,,PX60 6QE-255BE,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0746320909738,,,,90PT0121-M01740,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4053162296008,,,,C3K-PWR-300WAC=,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5025232845064,,,,90NB0ET2-M02600,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4040895455352,,,,UX550VD-BN008R,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4016032283546,,,,CD8067303314700,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8011869193033,,,,L5G78EA#ABH,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8011869196706,,,,BX80614E5649,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5704327726388,,,,LC-M713B,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4015867152577,,,,ZM-NC3500 Plus,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0190780933961,,,,IB7115,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0757120825241,,,,SP994S1-V1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0757120815495,,,,RL3550,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7571208154954,,,,TUSDH16GUHS03,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8718226224842,,,,90NB0BP2-M00490,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5390660119132,,,,K501UQ-DM008T-BE,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5390660140013,,,,830714-B21,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5705965881453,,,,CM8067102055800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4007249545930,,,,SP-LAMP-LP1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4712505025568,,,,CD8067303314400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8719675006355,,,,4YR-00290,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0741360244023,,,,C05-121,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0846651026590,,,,CCOMBOGR,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0885631249536,,,,0B28592,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4019863140880,,,,HUSMM8080ASS201,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5711045259272,,,,MXJA0B008G5001,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0702168966333,,,,MCU332GB,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0810354026614,,,,2220-04V,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0885370637335,,,,TRUE SPIRIT 120 DIRECT,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0757120830436,,,,ME987B/A,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7571208304366,,,,ME987FD/A,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4716659781585,,,,ME987NF/A,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4002888451758,,,,NX.G2AEH.007,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5054484521105,,,,10FW000UGE,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5054533521100,,,,FP700B,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0190725408653,,,,TS64GJF380G,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0886112056001,,,,CD8067303593800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0887263497491,,,,NDE0060U,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0889296279495,,,,TY 141,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0889296279501,,,,TY-141,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0889296301080,,,,Concept 20 wit,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0889296301608,,,,CONCEPT20W,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0889296312741,,,,300007109,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0889296535065,,,,MSL051336,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4055432145047,,,,SFTP701O,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5054533759251,,,,662921-B21,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5705965855287,,,,MDP2DPMM3MW,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4713883373265,,,,S14A-000-13514,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5390660183959,,,,SKC380S3/120G,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0704118105182,,,,LN-027,
